duration_label,target_seconds,actual_seconds,latent_frames,decoded_frames,prompt_index,prompt,source_trajectory,trajectory,closure_pair_latent,closure_pair_decoded,closure_translation_error,closure_rotation_error_deg,max_translation_from_start,max_rotation_from_start_deg
10s,10,9.8125,40,157,0,"A Chinese boy wearing glasses sits in a fast food restaurant, enjoying a delicious cheeseburger with his eyes closed. His hair is neatly combed, and he has a slightly dreamy expression. He holds the cheeseburger with both hands, taking a big bite. The background shows other diners and a colorful menu board with various fast food items. The lighting is warm and inviting, creating a cozy atmosphere. A close-up shot from a slightly lower angle, capturing the boy's joyful moment.",k*19,"k*19,i*19,k*1",0:38,0:152,0.0,0.0,0.0,56.99999854782386
10s,10,9.8125,40,157,1,"A close-up shot of a pair of chopsticks delicately picking up a piece of sushi and dipping it into a small dish of soy sauce. The chopsticks are held by a person with skilled fingers, their hands steady and precise. The sushi is fresh and colorful, with a slice of fish and rice perfectly balanced. The soy sauce dish is ceramic, with a glossy finish and a slight reflection of the chopsticks. The background is a traditional Japanese dining room, with a low table and ornate decorations. The lighting is soft and warm, highlighting the textures and colors. A medium close-up with a slight tilt, capturing the moment of the chopsticks touching the soy sauce.",i*19,"i*19,k*19,i*1",0:38,0:152,0.0,0.0,0.0,56.99999854782386
10s,10,9.8125,40,157,2,"A bustling train station in the heart of a vibrant city, captured in the style of a vibrant urban street scene. The station is packed with people in various outfits, rushing to catch their trains or waiting anxiously. A young man in a casual shirt and jeans stands near a large digital clock, checking his phone. His expression is a mix of impatience and curiosity. The background features a mix of modern architectural elements, including sleek glass buildings and colorful advertisements. The lighting is warm and inviting, with natural sunlight streaming through large windows. A dynamic medium shot with a slightly elevated angle, capturing the energy and movement of the crowd.","i*12,j*7","i*12,j*7,l*7,k*12,i*1",0:38,0:152,0.0,0.0,0.0,41.50136402988203
10s,10,9.8125,40,157,3,"A cinematic camera tilt-up shot of a curious cat exploring a large, open cardboard box. The cat, with its ears perked and tail twitching, sniffs the edges of the box, eyes wide with interest. The box is partially open, revealing some toys inside. The background is a cozy living room with soft lighting and scattered books and magazines. The photo has a warm, naturalistic quality, emphasizing the cat's playful curiosity. A medium shot capturing the cat's interaction with the box.","a*10,s*9","a*10,s*9,w*9,d*10,a*1",0:38,0:152,3.925231146709438e-17,0.0,1.0762899517658882,0.0
10s,10,9.8125,40,157,4,"A cinematic trailer in the style of a heartwarming coming-of-age film, showcasing a group of playful Samoyed puppies learning to become chefs. The puppies, with their fluffy white coats and bright eyes, gather around a colorful kitchen filled with pots, pans, and ingredients. They wag their tails excitedly as they attempt to mix batter and fold dough under the watchful eye of a wise, elderly dog. The puppies’ expressions range from determined to mischievous, with one puppy accidentally knocking over a stack of plates. The background transitions between warm, inviting kitchen scenes and glimpses of the puppies’ playful antics outside. The camera angles vary from wide shots of the puppies working together to close-ups capturing their joyful faces. A soft, uplifting score plays in the background, enhancing the sense of adventure and growth.","a*10,l*9","a*10,l*9,j*9,d*10,a*1",0:38,0:152,7.057164966042844e-16,0.0,0.8000000484099218,26.999999309935195
10s,10,9.8125,40,157,5,"A dramatic close-up shot of a man's face, where his lips are contorted in disgust as he tastes something bitter. His eyes narrow, and his brow furrows, revealing intense displeasure. He is wearing a casual shirt and jeans, with a hint of stubble on his chin. The background is a blurred kitchen setting, with a counter and a few scattered dishes in the distance. The lighting is stark, highlighting his expression. The photo has a realistic, gritty style, emphasizing the man's reaction to the bitter taste.","i*7,k*4,j*8","i*7,k*4,j*8,l*8,i*4,k*7,i*1",0:38,0:152,0.0,0.0,0.0,25.6088213915955
10s,10,9.8125,40,157,6,"A dynamic and casual scene in the style of a modern food photography shoot, capturing a young man dipping a crispy French fry into a small dish of ketchup. He has a relaxed and content expression, with a slight smile on his face. His shirt is casual, perhaps a simple T-shirt, and he is casually sitting on a wooden stool. The background features a blurred setting with hints of a cozy kitchen, complete with a few utensils and appliances visible in the periphery. The lighting is warm and inviting, highlighting the golden-brown French fry and the vibrant red ketchup. A close-up shot from a slightly lower angle, emphasizing the action and the flavors.",a*19,"a*19,d*19,a*1",0:38,0:152,2.7755575615628914e-17,0.0,1.5199999809265137,0.0
10s,10,9.8125,40,157,7,"A dynamic night-time scene in a dark forest, captured in a high-speed aerial shot. Neon-lit flora glows brightly, casting an otherworldly glow through the dense canopy. The camera zooms through the forest, capturing the intricate details of glowing flowers and bioluminescent leaves. The forest floor is shrouded in shadows, with only patches of neon light illuminating the path ahead. The air is filled with the soft rustling of leaves and the distant hum of nocturnal insects. A vivid, surreal landscape with a focus on movement and vibrant colors.",w*19,"w*19,s*19,w*1",0:38,0:152,2.7755575615628914e-17,0.0,1.5199999809265137,0.0
10s,10,9.8125,40,157,8,"A close-up shot of a painter's brush gently touching the canvas, spreading and blending vibrant colors in a swirling motion. The brush strokes are dynamic and fluid, creating a mesmerizing pattern of blues, greens, and purples. The canvas is set against a backdrop of muted tones, with hints of a wooden easel and a few scattered brushes nearby. The lighting highlights the textures and colors, giving the scene a lively and energetic feel. The photo captures the moment of creation with a sense of movement and artistry.","d*10,i*9","d*10,i*9,k*9,a*10,d*1",0:38,0:152,2.7755575615628914e-17,0.0,0.800000011920929,26.999999309935195
10s,10,9.8125,40,157,9,"A dramatic close-up shot from a downward angle, starting from the lush green branches of a towering ancient tree and gradually revealing the massive, gnarled roots below. The branches are adorned with vibrant leaves, while the roots stretch out in intricate patterns, covered in moss and fungi. The background shows a dense forest floor with patches of sunlight filtering through the canopy, creating a sense of depth and mystery. The photo has a naturalistic and realistic style, emphasizing the organic textures and details of the tree and its surroundings.","i*12,s*7","i*12,s*7,w*7,k*12,i*1",0:38,0:152,3.103167691559091e-17,0.0,0.5600000013992212,35.9999994773555
